	S284	S298	S273	S237	S272	S233	S392	S281	S295	S293	S245	S202	S198	S301	S227	S247	S231	S221	S213	S310
S245	0.467901789922739	0.6429984113243248	1.4911318532778406	1.7266793054436613	0.8630090477833079	1.0994137171415848	4.412162859346843	0.4737707996423845	1.0274944920407296	2.043461648377231	0.0	0.23601327268084532	1.3044531565032755	0.5157796268649512	3.284444502903197	0.33401522885733004	3.3614076008504186	0.31778491931086866	2.037222240455835	0.40221375711643675
S202	0.6417476663757107	0.6781894104662597	1.255748222156895	1.529296815865543	0.6504880802960944	0.8694853941550738	4.352481184651413	0.25826323413377783	0.8386939646317604	1.8102789371031596	0.23601327268084532	0.0	1.0767402197262639	0.2898188979559924	3.054284566111533	0.29067259490636804	3.131395163436576	0.3828851428368009	1.8038000978089552	0.39039501171074575
S198	1.5901349733315493	1.415115869993551	0.3076440545147693	1.030920089314519	0.5677485016525512	0.32595092656758445	4.105599626678873	0.8337316197192091	0.7841629471972484	0.8294210034353463	1.3044531565032755	1.0767402197262639	0.0	0.8068641593284231	1.9909866383550474	1.1010416725679757	2.1393246343535344	1.3456554936759295	0.8192099943843776	1.1683319733676525
S301	0.8344126945894551	0.8723250521429018	0.9873139436524996	1.2759027534401446	0.36570588801221426	0.5837934842232877	4.350241264040672	0.15295059821794327	0.6015705106394934	1.5301354125612263	0.5157796268649512	0.2898188979559924	0.8068641593284231	0.0	2.7913802620550907	0.43825278285936586	2.8476800823069883	0.5516770755304268	1.524032208409364	0.4528348139484283
S227	3.576203051960446	3.2514139681236434	1.8300257675066578	2.2467371841534245	2.5235786676539944	2.2448701262812127	4.206407170822524	2.813407007981126	2.5919664687026005	1.4194300430796527	3.284444502903197	3.054284566111533	1.9909866383550474	2.7913802620550907	0.0	3.061971892514113	1.104085333811374	3.3251469604217223	1.4151513885198566	3.1517080156713564
S247	0.6397417090575276	0.5466276722088697	1.3299009794429273	1.7050969900116217	0.7560546818125762	0.9646928890637979	4.144183121774414	0.3151724278702325	1.0239942125396362	1.8966475841643857	0.33401522885733004	0.29067259490636804	1.1010416725679757	0.43825278285936586	3.061971892514113	0.0	3.218450129863665	0.5789996828974204	1.8886734710831667	0.4268453786552037
S231	3.5952309421221065	3.5276368324589025	1.9227777485157742	1.8492537708858385	2.518024265818139	2.266172600318661	5.230249410654165	2.9251229892312325	2.4354918160029833	1.3327631765269243	3.3614076008504186	3.131395163436576	2.1393246343535344	2.8476800823069883	1.104085333811374	3.218450129863665	0.0	3.2970495084266944	1.3420143373655067	3.171668817056109
S221	0.4372387340748966	0.9569509918547928	1.506533821073626	1.5674375913955132	0.8200807760280713	1.0848684258560775	4.708702582662607	0.595405228422675	0.8794706783914973	2.011345119336467	0.31778491931086866	0.3828851428368009	1.3456554936759295	0.5516770755304268	3.3251469604217223	0.5789996828974204	3.2970495084266944	0.0	2.007694171179875	0.35905613311320084
S213	2.310431902887837	2.1892215308172087	0.5825368555104458	0.8701925060616197	1.21912407708664	0.9434578094524165	4.4943129191315	1.5929861572616308	1.203692932862627	0.01734445824026061	2.037222240455835	1.8038000978089552	0.8192099943843776	1.524032208409364	1.4151513885198566	1.8886734710831667	1.3420143373655067	2.007694171179875	0.0	1.8841775312525233
S310	0.42995321457140834	0.9446721459335787	1.3847176929632454	1.52558857013141	0.6665637243150562	0.9528003313340572	4.535138227823624	0.4651879711264013	0.8331650534582996	1.8885536212368887	0.40221375711643675	0.39039501171074575	1.1683319733676525	0.4528348139484283	3.1517080156713564	0.4268453786552037	3.171668817056109	0.35905613311320084	1.8841775312525233	0.0
