	S28	S110	S131	S81	S23	S59	S123	S32	S25	S112	S154	S68	S153	S143	S24	S84	S185	S133	S35	S63	S116	S174	S187	S36	S48	S171	S159	S14	S12	S47	S34	S92	S3	S9	S105	S165	S21	S158	S66	S7	S58	S182	S80	S98	S82	S138	S69	S109	S37	S76	S141	S18	S137
S154	2.5075678584618113	2.127333516275092	1.8512477608152549	2.012219546039941	1.429063890272334	0.8085710128228726	1.6265913071158336	0.3484387903934423	2.2275861524538136	1.7004213543740794	0.0	0.4140929323176465	2.4098081432156846	1.600018554555397	0.7956705350518466	1.0816201860336845	0.8082739222510416	0.30232747385493947	2.9331177903880317	1.1558104996997662	1.8254999349779781	0.6226577668031639	1.4601331720432404	0.49260909301022016	2.45554810852742	1.723569542158338	1.0074561926832448	2.402774964290702	1.9961393181408926	1.5482697648358046	3.0810791281051557	0.8715748617476065	1.4497542507426142	3.391590509742099	3.998547658644186	0.38286814784837103	2.9085924695416283	0.661933333000936	0.2659975209790473	1.5415678176472205	0.8437387531080349	0.7226636133943749	1.8524487076860368	0.9780627813070225	3.312193992351978	0.8565778100302015	0.5019378247495138	1.5247049749702328	0.7748789641817653	0.9555495445696535	0.965801674078435	1.4982377743072302	1.0444880423194305
S68	2.901888514766321	2.1551180250035924	2.260651392635016	2.060775773539055	1.8226518340173972	1.2025496491304366	1.9146826490955475	0.6782850794745076	2.575587456781243	2.1130598525486266	0.4140929323176465	0.0	2.8050052998227204	1.7098570023123965	1.1467825278422201	1.353815199197648	1.0763846844378278	0.4747546141129288	3.346765371645049	1.1157387752353027	2.2389796540685367	0.6667989520374912	1.873119190951967	0.4406203435075251	2.79007155487636	2.126153097470873	1.3251746260009305	2.522214908125648	2.353574116183829	1.9483332446991497	3.4921232645676517	1.0723749603758168	1.704263112553824	3.61589141447182	4.4111594013937605	0.6090620891005454	3.12617382014069	0.7451423888904393	0.35603215264162086	1.9528162554891906	0.8039301849814241	0.8570702014001673	2.0574222822996258	1.3599650434017097	3.7204064223608366	1.2693693682928375	0.3564788290951125	1.9248994439608873	1.0907884825566938	1.3507719858835112	1.3771997887249878	1.8333028521562122	1.21032437777991
S153	0.3424669031475702	3.7028268680043794	1.1574908514961821	3.556879198671091	0.9844436372425543	1.6452725877907586	1.380230907827657	2.2900897576856343	0.779490717826825	0.8612897380333154	2.4098081432156846	2.8050052998227204	0.0	3.097520642733514	2.0911229602613965	1.7078708323447784	1.8866577226491275	2.550890747483091	1.1001149716225866	2.6201355607875465	0.9459811430511817	2.4256421805686132	1.1850535397590043	2.8045451536441828	2.301914458202256	0.7008054520201571	1.6128972454366624	3.557437525265086	0.7099938539340942	1.4620344600388884	1.3678949589529756	2.023778032478812	2.499682605148126	3.687704722324022	1.9456681346141202	2.488564978952044	3.3802863207502574	2.7437430262356397	2.4843726841972624	0.9465350098850686	2.5679300146308255	2.2344030790904474	1.793247093351049	1.4488227850059803	1.589528709693511	1.588317646190837	2.857534475685475	0.900548865492488	1.7870368310062834	1.775397604196575	1.6007128176932226	1.1982237238882625	2.0598864325677684
S143	3.2178466638625802	0.6190406538875404	2.041888773650082	0.4767093786612151	2.3471804435559593	1.9357838974725685	2.9527948874366983	1.363661376900638	3.284091317572804	2.2734277615312526	1.600018554555397	1.7098570023123965	3.097520642733514	0.0	1.1483269213545235	2.5103825176914434	2.2840552389831106	1.3176459358702333	3.0617706365974806	2.713726311229489	2.1905806242315684	2.1874069136983554	1.9838001458376815	1.2699119279266868	1.6817292773827899	2.4736063475308963	2.3630091278415604	0.813516323566699	3.0282425709203875	1.7214747312392555	3.067099582262182	2.4047681358302793	0.6401758993069271	2.010362284490519	3.9997770495333467	1.2182184661357358	1.5348483575881604	0.9763045628102297	1.8118308233039446	2.1970306662691708	2.4044251730210218	2.2945569633491076	3.3061356180359263	2.099026252795664	3.2152680993611265	1.7738965189282687	1.3693739367655156	2.364553453971225	2.1657914318442417	1.4124169296431652	1.6227287390459555	2.7111424140441223	2.5907373907527584
S24	2.1964025130763103	1.760928113683846	1.225794303924337	1.6187672022071666	1.2326409868878467	0.7956438687969718	1.8127996967554791	0.5357671157125299	2.1600680453107595	1.2636279400079131	0.7956705350518466	1.1467825278422201	2.0911229602613965	1.1483269213545235	0.0	1.4073884570933493	1.2213719596050443	0.6977043136060784	2.34348773754868	1.8545461671838788	1.2828806971435995	1.3305641363832232	0.9677211926739162	0.8868177512332015	1.6630437950566352	1.4114418457879112	1.2411427865927296	1.8523976271006573	1.9107536736304978	0.8810189099792307	2.444574562198149	1.3774878513394393	0.7446810416030675	2.674085378209455	3.3924370982575174	0.5697232955438881	2.208493347266932	0.6998085248321952	1.035086242698724	1.1492378885470649	1.5716275439158907	1.3443021414477012	2.1958672067829013	0.9687611407547698	2.6591990232555727	0.62949179494603	0.9901749094283007	1.2649510265469142	1.0882547409132453	0.32293304639316295	0.5045719922765578	1.564231493735255	1.5622082214554658
S84	1.7812170693092162	3.098560517995549	1.726124461809698	2.968214265722869	0.8545075044215333	0.6755038125224084	0.5621704541247512	1.197341858624359	1.2817411852775416	1.328827220630859	1.0816201860336845	1.353815199197648	1.7078708323447784	2.5103825176914434	1.4073884570933493	0.0	0.28191645097512563	1.3559144766968403	2.5555300332837305	0.9618770961110842	1.5704627150708605	0.8185137823040933	1.2821275974741404	1.5733403046699834	2.772566048720406	1.169856995727622	0.1982214379745411	3.2502663140378614	1.096289073042219	1.6073420183258378	2.7782461754152727	0.3438676840254444	2.1435538105691214	3.980401251755098	3.574629796487939	1.3834279072087345	3.53297652828582	1.6962460016572574	1.0235890706776944	1.1740257494250068	0.9068228905518115	0.5876097653000438	0.8038787043253307	0.569646048874892	3.0295784731768367	0.863574890293378	1.5694562913929337	0.9831016659261029	0.3653389984591681	1.2785628268666565	1.0967212120493333	0.5578587757485454	0.36986439088053036
S185	1.97482858581438	2.8599505911101084	1.7407376195046507	2.7337601063265686	0.9586887915777571	0.5866193156721589	0.842209416458512	0.9452121896341249	1.5335966877254559	1.3997309174421009	0.8082739222510416	1.0763846844378278	1.8866577226491275	2.2840552389831106	1.2213719596050443	0.28191645097512563	0.0	1.0865929036165187	2.659193505654521	0.8438533221454797	1.6150650727242373	0.5709137056343675	1.2938248460065003	1.2984124549140068	2.693967754225553	1.2883373803410956	0.2973504618550885	3.0435937335429903	1.326802838626593	1.570082483292111	2.863816832883481	0.191063150665893	1.964592118182163	3.8404744644341133	3.698230347203062	1.1245299203045547	3.380439582308171	1.4372344974695979	0.7423592738012108	1.2327658958863745	0.707389341236971	0.36174431176669175	1.05126382616562	0.5510201685812001	3.1103657421454023	0.7651506124946768	1.2901034238594833	1.0887178367415613	0.1855982338402759	1.148966546904203	0.9979212241044343	0.7945124697671342	0.3525804269092273
S133	2.661381259928317	1.8321580388469236	1.8711648797636233	1.720368279975773	1.5900545070545915	0.99403620957191	1.8885939954197855	0.28369292056357415	2.445371527116966	1.7970637032593548	0.30232747385493947	0.4747546141129288	2.550890747483091	1.3176459358702333	0.6977043136060784	1.3559144766968403	1.0865929036165187	0.0	2.979082869289624	1.4095485809425707	1.8803227388426522	0.8815834918882389	1.5330327594546156	0.2558562131382838	2.3190140103248997	1.8589274389413895	1.2650029678942076	2.125506333120322	2.201015007729543	1.547251610146903	3.1022668288777018	1.1596251941127977	1.2410011906225427	3.160710037419839	4.035442530888969	0.1374610176932206	2.6729905853388987	0.37626345677474216	0.49784010931861516	1.6467168187764774	1.0948557502867113	1.0068803742309735	2.135144762738516	1.1631989826823108	3.319740778914313	0.9728512328875867	0.3170328414875948	1.6739866261687424	1.0249861710781791	0.9435739703597823	1.0163196476268608	1.735605842701135	1.3353875689501666
S35	1.1136925132683628	3.595299451111839	1.1177156375691524	3.4535075810608626	1.7091781067031226	2.225436275217316	2.3615690870956927	2.731692629094493	1.8166946479551387	1.2719344818990812	2.9331177903880317	3.346765371645049	1.1001149716225866	3.0617706365974806	2.34348773754868	2.5555300332837305	2.659193505654521	2.979082869289624	0.0	3.4703105953766937	1.1091039223210728	3.151052645574129	1.4881968647174655	3.207866213562061	1.7339925168776458	1.3878298543955037	2.4050031253454027	3.2842570158655886	1.7528233506839217	1.4910055903686752	0.28391354628854965	2.8320633738716277	2.4314475045528856	3.060975780593472	1.080516307328504	2.8759026216731463	2.8741133211967522	3.0421638792786934	3.0867073046072857	1.4387450723551496	3.342063799172008	3.001062639227213	2.8296276189423955	2.1327898710134767	0.5538181506664509	2.0881113498947896	3.2941950030735367	1.5773105617319296	2.525670089576558	2.0479043852095486	1.9733031908820742	2.1037854130249576	2.918463207777733
S63	2.7241810852615487	3.210429692042716	2.5601092186280012	3.1098729985166877	1.7648271461773846	1.4032314307714366	1.3856086639121514	1.3947649221042937	2.1663915358956554	2.2279668055651825	1.1558104996997662	1.1157387752353027	2.6201355607875465	2.713726311229489	1.8545461671838788	0.9618770961110842	0.8438533221454797	1.4095485809425707	3.4703105953766937	0.0	2.435487405630129	0.5373545941495151	2.1286525405238605	1.5121325973606332	3.429102150924674	2.0896816951180583	1.1034291696079304	3.5114285771863383	1.9940823190350392	2.380442088176312	3.6766073609374064	0.6622897651644369	2.560278777123582	4.445573509033178	4.484543758330109	1.5153312010307132	3.964290763468039	1.7762305921260797	0.9129937415669432	2.0566996837444194	0.3193308638565958	0.5397395006040985	1.2504477259714837	1.3632350914852873	3.9112781088632853	1.5577268143746759	1.4332667366704823	1.9057572334162678	0.9741927369832353	1.8844064646762766	1.7744916905467574	1.5016867096913267	0.5998043310507826
