	S194	S93	S73	S144	S123	S161	S180	S154	S139	S170	S195	S185	S53	S186	S75	S48	S136	S111	S179	S106	S176	S124	S40	S92	S151	S62	S20	S42	S188	S80	S125	S183	S129	S137
S195	1.1595468555761625	1.0825367943767827	0.3746982072809076	1.2709188925338768	1.4268629169006806	2.883237986296122	2.139404305634766	0.8310264459609384	0.8333392353044671	1.5922079233252855	0.0	1.2409806128746348	1.3435863253139295	1.2037364968311277	1.5254515053993742	1.6824538696889768	3.650695541707506	0.49628066779795804	1.0649976237670031	2.0631830959593427	1.42665302747406	2.2408093920550494	1.0351971992692963	1.9384905666108498	1.415348355282102	1.3647904351853624	0.7545387631402002	0.8584201118979405	1.5520717731018763	2.4454808588881116	2.5697602333107747	1.8596927135233312	2.9644018102164202	1.8110411974838017
S185	0.49722321557006005	0.6320730355296735	1.2785231623814954	1.4275001510625982	0.7465528779278614	2.246022315549339	1.2586062803981726	1.2340024236587	1.8278226717106225	0.40341224355766286	1.2409806128746348	0.0	2.428855402040563	0.846239684723075	0.7117005375744209	2.8883083705256603	4.012770400444725	0.8692305586180737	2.2925708245104315	1.8797746192043334	0.8850689134563476	1.813369474119618	1.9204656252291206	0.8650021741040135	0.3464308435043404	1.3938145988777875	1.7456189589464766	1.758134058012136	0.3305459450830668	1.3295064903544747	1.7693602396311805	2.1047263028300245	3.5117812894727467	0.6237851275987614
S53	2.134432148236559	2.0194383902694315	1.6187965524052952	1.5480497406507412	2.2584745262154287	3.2423402616602677	2.8673922213856886	2.097755862385851	0.6064118135937224	2.6833409981846574	1.3435863253139295	2.428855402040563	0.0	1.9566420279634742	2.849913319625578	0.7175747539389185	2.803903153459563	1.5903928995330339	0.9149282387939502	2.1966318465991135	2.1720243753028754	2.549680833248124	1.8850742033127303	2.8740166463817243	2.469798438529056	2.646933659655592	0.7028385409174057	0.7062942668976742	2.680889389824396	3.3487070530204663	3.1398744949310915	1.600116744165378	2.003798972280805	2.873715958752514
S186	0.3495583744822518	0.3022429210269722	1.462519795893152	0.6227925769329414	0.30309609032526613	1.696315581783836	0.9815882023038877	1.6841526528338382	1.3705679099857595	0.8775423031889371	1.2037364968311277	0.846239684723075	1.9566420279634742	0.0	1.5452157894047454	2.5610935905748997	3.1894580084313953	0.7369428272478451	2.1464347114705276	1.0695899315104624	0.23955136789891035	1.1064275075848504	2.187109955731177	0.931336518300229	0.660658156332344	2.0254346363143156	1.3001155317317448	1.2520926538360002	0.9213780896965106	1.4073675972549182	1.3704059776839392	1.2791076336931348	2.706256185213842	0.9920199512259582
S75	1.2014062876802454	1.2990034933316035	1.37545845685073	2.0892929428614617	1.4521857281396373	2.89500974786056	1.8765985586628586	1.0732446442950188	2.283685267828195	0.9476210693851813	1.5254515053993742	0.7117005375744209	2.849913319625578	1.5452157894047454	0.0	3.1812255611944313	4.696010332779867	1.3352619544377657	2.490824160678939	2.589101675527983	1.5898092264675237	2.5117248730974113	1.806298686267944	1.4166473139588005	1.0202749885386877	0.9389552399750392	2.1987576621325893	2.250299836250245	0.8436803938662859	1.767825733502468	2.3859402611976943	2.7850454293188016	4.159654350506095	1.092777643750349
S48	2.680564176254611	2.5779643487632367	1.832277178588337	2.2259447188774377	2.8545876176130576	3.9430153582296796	3.4962048822331617	2.257840749592833	1.2005400037464784	3.191592854230145	1.6824538696889768	2.8883083705256603	0.7175747539389185	2.5610935905748997	3.1812255611944313	0.0	3.3368309674659598	2.06454377449301	0.7520349261109728	2.906761360657874	2.7893824457859013	3.249790711404938	1.8129760825327708	3.449490899459575	2.9924012509332045	2.784920883351231	1.2785870850573837	1.3334479406709978	3.1722687799821667	3.9385005760405445	3.808337477747853	2.308888588817824	2.527887074659883	3.403526545891966
S136	3.5275883321747163	3.4588585925616244	4.020247922002875	2.677109265235673	3.367063614694429	2.907365606887035	3.4168661107249827	4.454658352931613	2.9135737073107433	3.9783127191622167	3.650695541707506	4.012770400444725	2.803903153459563	3.1894580084313953	4.696010332779867	3.3368309674659598	0.0	3.519042724977624	3.691067164273056	2.3222102827897486	3.227788534857151	2.6209507472035414	4.535941351881364	3.7935486949210575	3.7959108053400357	4.96801656061316	2.980382711024323	2.829145330415885	4.049300686560654	3.998214921882675	3.2508983854655353	1.923085430349948	0.840332137885128	4.033816305129557
S111	0.6905713194020677	0.5884047234989264	0.7437172448016481	0.9352610974424161	0.9456803084035691	2.4260572848512076	1.6714481648402317	1.042365013675944	0.9956143813592285	1.1765086097155657	0.49628066779795804	0.8692305586180737	1.5903928995330339	0.7369428272478451	1.3352619544377657	2.06454377449301	3.519042724977624	0.0	1.5257431430648218	1.6801158297336343	0.9456167787073304	1.8067930483740222	1.4672467220060845	1.4755730158180431	0.9786707468713534	1.468865021435701	0.8979074146720697	0.9459943197997495	1.151252013910842	1.9851693330024158	2.0984593054565828	1.6301091661862894	2.897828728799473	1.3734560955572401
S179	2.181145327043807	2.0963010868696026	1.1257120883870775	1.9761800020947446	2.412835640210536	3.7136063976196207	3.0982844929760898	1.5194411602372215	0.9751610610114929	2.6354691930188348	1.0649976237670031	2.2925708245104315	0.9149282387939502	2.1464347114705276	2.490824160678939	0.7520349261109728	3.691067164273056	1.5257431430648218	0.0	2.749541537825511	2.3818312227959355	3.0288407860532343	1.073821690407193	2.962889444750365	2.4559938983925687	2.041072986482909	1.004350257873795	1.1159450847316217	2.5990528329964997	3.4642994470822353	3.4826781293963736	2.286684876424189	2.9087953242186897	2.860695178581054
S106	1.3947817720975302	1.3367608077334885	2.397187969115432	0.8176729047433413	1.1465751391838852	1.064267736787941	1.1944149249252372	2.7048160371856693	1.7879344825224066	1.7717459917116454	2.0631830959593427	1.8797746192043334	2.1966318465991135	1.0695899315104624	2.589101675527983	2.906761360657874	2.3222102827897486	1.6801158297336343	2.749541537825511	0.0	1.0032302580878143	0.40921904098831474	3.097899298178695	1.5306671736449702	1.6070225925747144	3.0797473959216917	1.76012141407074	1.6426005172623785	1.8509719048860864	1.7759178988633049	1.1437089437874561	0.7281147516485169	2.0228104118268173	1.7766401808312917
