	S375	S366	S249	S258	S335	S391	S271	S302	S324	S372	S383	S276	S384	S357	S347	S307	S238	S376	S236	S216	S333	S338	S386	S350	S390	S291	S340	S269	S381	S325	S244	S315	S332	S290	S234
S383	1.9963609730520555	2.4614281921411023	1.784063572360361	2.4899388234441275	2.174479675805518	0.8765681293320844	2.430076411934225	0.9435547081819753	2.2171633423387185	1.7439846852518919	0.0	2.0921675565393603	2.2447472053448627	1.753492878148302	3.6867769987614856	2.2433692037812634	2.5100134472469255	1.0419688851961784	2.299639893174588	2.2671988721334277	1.880026460263751	2.6005980157814617	2.8486914003049546	2.1010392378738505	1.353438514119338	2.4648721364566604	2.3012523383000705	2.1621290015501193	1.1171587415993849	2.1818296243413653	2.491405521474712	2.5669222881328615	2.175037397613971	2.3859307711901736	1.1103408365431533
S276	2.7191763458864773	1.3487474940650925	1.0344536442464518	0.9575213322806675	2.787517171311125	2.828794711147817	1.3101547590316032	1.5649993349648437	0.853562271103603	1.0609022002267894	2.0921675565393603	0.0	3.4247389098711127	0.4860564283597019	4.702223915892508	1.003076856160175	1.0554288722538512	1.6076301873848482	1.5595121980094269	2.2987031336956303	0.8984931877350353	0.9986798500805628	3.5100145541782815	2.5084380747688657	3.0661178637426825	1.2378636070718445	0.9403592619589362	1.2407879568913196	1.4493452945882048	1.4104440887847474	0.9274414510995617	1.089954246440498	0.9357517972475836	1.150450045459243	1.6220767835645888
S384	0.809088166154153	2.7410487627060083	2.471702199738319	3.123531507226362	0.8876655916644326	1.6723516016010218	2.74444552556632	1.950266667543324	2.9181203328037504	2.43062786818628	2.2447472053448627	3.4247389098711127	0.0	2.940229181597682	1.444860449021368	2.818917591270322	3.0825961137164937	1.8688901959472466	2.3747148455822122	1.577193966002498	2.6346277899537682	3.2536564472297527	5.050940668538294	1.1712360135127389	3.2751959321111226	2.8486058472705786	2.9363601725415993	2.5414468982383003	2.0066639491157026	2.4050228398620814	3.1568710179036286	3.1100962027568704	2.8281416791116074	2.8432787991232527	1.8314913592742628
S357	2.2387961149405275	1.088262917246566	0.5972334358088827	0.8481500673276335	2.314818352029819	2.4201974708338607	1.0427973434751987	1.1081443379378804	0.6246544402404552	0.6070990408739503	1.753492878148302	0.4860564283597019	2.940229181597682	0.0	4.222709618223886	0.7394082483910482	0.9167110872772177	1.140166031438316	1.2009350210279166	1.858801365892859	0.49117923790771206	0.944343204235496	3.5796505334525777	2.041941471947145	2.863621946426233	1.0056196146503136	0.7279016490297249	0.8940197118654142	0.9776541723354791	1.0432061211425534	0.8349698423470271	0.9650192286259318	0.6585340360691554	0.9095943406759244	1.1474769383790586
S347	1.991659671332844	3.764689942840236	3.6890910231663643	4.214515593628137	1.9361119089396723	3.0494364293930873	3.7775589370364973	3.3373664102876206	4.0632682876636705	3.6529508372530533	3.6867769987614856	4.702223915892508	1.444860449021368	4.222709618223886	0.0	3.9372878409340792	4.1538087463927695	3.242595537012559	3.395962728815258	2.525538951277774	3.841232921703131	4.33019272806066	6.467708177322745	2.2239257701220456	4.64091574022014	3.8893034796430057	4.054284976545619	3.6437203608391986	3.362040247033712	3.4792751832869655	4.253658144666155	4.167598105358632	3.9682552966985627	3.912332530767063	3.1928978816571068
S307	2.032962208937024	0.36744258483376957	0.483794529009433	0.31428974358346645	2.0517374856084714	2.737175018013406	0.3165986340078732	1.379685099645218	0.15310469516445363	0.5179581890581563	2.2433692037812634	1.003076856160175	2.818917591270322	0.7394082483910482	3.9372878409340792	0.0	0.3563592510922298	1.3431389945492507	0.5897970892718966	1.44096873071824	0.36523261003990526	0.49611973885746247	4.313537459040567	1.7457799547024262	3.4729475659359217	0.2753261425112012	0.16317734962907987	0.3071663704731969	1.197686304354949	0.47361196813642903	0.3537504800855092	0.36714533522885845	0.18164028609271982	0.20006860663851614	1.3071470304842414
S238	2.2971950056181583	0.5275525011511188	0.8135319443184895	0.1827303111698607	2.3143416294601304	3.0086076836754194	0.41292518251225707	1.6763065322083857	0.35508328596073907	0.8193516670246377	2.5100134472469255	1.0554288722538512	3.0825961137164937	0.9167110872772177	4.1538087463927695	0.3563592510922298	0.0	1.647597812215717	0.8016079331383251	1.6809196344922697	0.6602976550048393	0.1773039995005691	4.441651149210323	2.008338070461253	3.692043267174905	0.3101410225784749	0.22811662124034127	0.6120395924739825	1.4966169345408997	0.741309307616133	0.16721671921493053	0.09291772173883027	0.3400861630070684	0.2615873263899435	1.6095039774911752
S376	1.2865802082591782	1.484076055795255	0.8689150209240788	1.6363473660065866	1.4172188898437268	1.417778911550999	1.4686026936057794	0.12429433645731172	1.3660935996933479	0.8312873002435265	1.0419688851961784	1.6076301873848482	1.8688901959472466	1.140166031438316	3.242595537012559	1.3431389945492507	1.647597812215717	0.0	1.2774010168500642	1.2880307209658954	1.0159578328151708	1.7771450744528265	3.6879543237059416	1.2351996416875677	2.385518054059943	1.5250551777267378	1.4379485413875681	1.1863959415319243	0.16721059836469243	1.1728122955203388	1.6545388822523022	1.6914291773664485	1.3123678862888815	1.4655404434595098	0.08253130480841896
S236	1.5688303366957006	0.37774682332450277	0.6645964549978159	0.8325449259406053	1.5524020374353065	2.615865799668849	0.39845670972140995	1.360035378542399	0.7393914406457126	0.675476268324391	2.299639893174588	1.5595121980094269	2.3747148455822122	1.2009350210279166	3.395962728815258	0.5897970892718966	0.8016079331383251	1.2774010168500642	0.0	0.8893060444166057	0.7115800088647796	0.9759840164120442	4.673413742586714	1.2431859777808563	3.609816488545823	0.5080964294331174	0.7131932056804628	0.3225620743262101	1.1831089750565293	0.165990399784592	0.8809746078871193	0.7952087812028482	0.681482572838847	0.5446611975158177	1.2157303147423217
S216	0.7858785344526692	1.2496009853383494	1.2677771569941516	1.714949825350003	0.7036592281676948	2.2888376958240757	1.285405352171534	1.4093337451756505	1.5758195748817647	1.2583537614715212	2.2671988721334277	2.2987031336956303	1.577193966002498	1.858801365892859	2.525538951277774	1.44096873071824	1.6809196344922697	1.2880307209658954	0.8893060444166057	0.0	1.4084675696582905	1.857557279205058	4.971539018965316	0.4149834712092971	3.600697721385047	1.3963197545968755	1.5725557426502612	1.1383742214039378	1.3067220168395652	0.9698926552317559	1.7617117054995832	1.6822311881215963	1.5062360451417025	1.425215631567021	1.2148359595034126
S333	1.881548040309635	0.6580152228092803	0.19162407598332556	0.625832752317616	1.9320300720988424	2.4022552105797312	0.6130428670619795	1.0377238951493521	0.3520036206082216	0.20833611447971753	1.880026460263751	0.8984931877350353	2.6346277899537682	0.49117923790771206	3.841232921703131	0.36523261003990526	0.6602976550048393	1.0159578328151708	0.7115800088647796	1.4084675696582905	0.0	0.7746207596850235	4.006099228287974	1.64061368614114	3.110726338321298	0.6131298784427182	0.4366233991633887	0.41682388929387476	0.8608973881927436	0.5553044630447262	0.6415751590900473	0.7004400200285787	0.3270559405727821	0.5285678142587249	0.9897249427262892
S338	2.4707669706807187	0.6810359933301717	0.942068871929554	0.22552856977905136	2.490092589174515	3.131385752932537	0.5837556012099535	1.797308028400181	0.4497578405795078	0.9510201747313337	2.6005980157814617	0.9986798500805628	3.2536564472297527	0.944343204235496	4.33019272806066	0.49611973885746247	0.1773039995005691	1.7771450744528265	0.9759840164120442	1.857557279205058	0.7746207596850235	0.0	4.422006228528625	2.184184577095322	3.7493946398690152	0.47625962226364305	0.3525545998130158	0.7754067631786817	1.6212580409221058	0.9126327977476861	0.1710563462618427	0.19494414715671196	0.46736801458934757	0.43477862915091847	1.743903229493847
S386	4.8302138686082685	4.6548799795005005	4.023372265305989	4.393827139368718	5.006151733079657	3.428416803703404	4.599759904071592	3.5649377168621275	4.200394220152168	3.9983005926326523	2.8486914003049546	3.5100145541782815	5.050940668538294	3.5796505334525777	6.467708177322745	4.313537459040567	4.441651149210323	3.6879543237059416	4.673413742586714	4.971539018965316	4.006099228287974	4.422006228528625	0.0	4.893420278965568	1.925869428790984	4.571832899995118	4.287527091329896	4.413908738776887	3.6688391784887373	4.520644556338083	4.363081616966955	4.503798841596961	4.205953641826164	4.46997682895751	3.7590658182230876
S350	0.3799604991429456	1.6071024982553108	1.4807763447615705	2.039808081856163	0.30998634571292244	1.992207144536451	1.6332584169553879	1.3557713073803261	1.8660242600040435	1.460607500732509	2.1010392378738505	2.5084380747688657	1.1712360135127389	2.041941471947145	2.2239257701220456	1.7457799547024262	2.008338070461253	1.2351996416875677	1.2431859777808563	0.4149834712092971	1.64061368614114	2.184184577095322	4.893420278965568	0.0	3.403194995285351	1.7415912509444988	1.876627734096634	1.4472978627442357	1.3046492926164963	1.2931520520108517	2.0823844079146747	2.019818160049186	1.7910415302622498	1.7545264619702214	1.1686184845186063
S390	3.2372474225113277	3.73873398160287	3.0522185333423115	3.673953881568315	3.4313832338181487	1.6039554732439543	3.6893089647645896	2.279778264532242	3.4173219307795644	3.006887708333264	1.353438514119338	3.0661178637426825	3.2751959321111226	2.863621946426233	4.64091574022014	3.4729475659359217	3.692043267174905	2.385518054059943	3.609816488545823	3.600697721385047	3.110726338321298	3.7493946398690152	1.925869428790984	3.403194995285351	0.0	3.7078158187775236	3.499194533709789	3.4452513248300765	2.4419822872696555	3.4856341305576155	3.6614430149327384	3.758150035530732	3.3780731183860992	3.617072859196395	2.451605852363828
