	S339	S311	S223	S316	S303	S387	S370	S304	S237	S328	S306	S345	S369	S354	S252	S323	S324	S275	S256	S360	S262	S281	S377	S293	S373	S245	S357	S285	S336	S330	S363	S202	S229	S228	S277	S376	S265	S361	S215	S368	S352	S251	S317	S362	S342	S212	S289	S247	S326	S250	S274	S197	S279	S386	S268	S261	S340	S286	S213	S264	S322	S374	S204	S329	S205	S234	S299	S364	S232	S351
S306	0.6982932545991126	2.410053044415573	1.3170580726115884	0.9600513079040207	2.1544299895695715	5.458614915994109	1.523664813750138	1.7277393852671652	1.6841439410039434	1.1251655247077474	0.0	2.3892347986578564	2.5856778621408014	0.23846263640037205	1.7228482175364894	2.018173642639675	1.3312708742487327	3.4655372879741915	0.33314683759960034	0.6115659120723361	0.3437925467937142	1.073998088834384	1.6153054245385445	1.724703326539098	1.1342998984469677	1.0437143662230504	1.8222760377494367	1.3465408277804887	1.3485464728872627	0.8785726345997997	0.32051244261982337	0.9087310264223432	0.7381362572869935	2.5087040459142753	0.893079687611181	2.688371694570153	0.6682699505962378	1.1456147534440704	0.5575717110884757	0.47560218114141795	1.6141723044910545	1.3484186084630778	0.528682244407853	0.99812448288833	1.6272910003414882	1.754871623378471	2.955257482057659	0.24843476996643737	0.6790788956646572	1.0744905299891316	2.8261294613439674	3.084158883161695	2.8623180128285526	5.111560224223829	1.4543963796998332	2.1421156048634886	1.5576104168956917	1.2685753339945116	2.054583568198697	0.8510322691336406	2.2653547167477814	1.9077046696535107	0.5385955725425018	1.0127994383366896	0.6834813473181784	2.635062910581745	2.309958640424456	0.6157156614643815	2.584176429598144	0.9159132258695019
S345	1.9666472220330742	2.6301662187014143	1.2892322876781979	1.5008721071126283	0.7818363574742447	3.2479398672862985	1.974659231198446	1.0340090996411926	0.8656686288136474	1.7274182554292123	2.3892347986578564	0.0	0.8752958132978815	2.381278153572878	2.2602724561434426	0.6205096456195298	1.8993029344251338	2.5162903938618166	2.3773337845104487	1.979356397613155	2.5623856027823617	1.646056493824352	1.923700480179845	1.0386837089068404	1.5796247776482302	1.755866319851092	1.4031074560411065	1.570735320077031	1.14658632124253	2.1001776955824814	2.1243012725952526	1.680603648797648	1.7883680315912036	2.3200151657851746	2.1151144258782426	0.914635416537604	2.313109301790101	1.9157002443676694	1.8933727438774688	2.0020569240739654	1.6872128290835255	1.9753601670150085	1.87130749013624	2.288629175443497	1.440883334628216	1.4547924850948226	2.4941245673355428	2.357978588667938	1.7226466809401297	2.3907990789847453	0.9529633937556088	1.039753887563285	1.9362311869441742	2.817642662098396	2.207166566214846	0.2731824415861453	2.24700038562653	2.052642247202359	0.6242800854177027	2.111244535178008	0.9066753195427996	2.4264250044249787	2.1207746396211578	2.3276442602955525	1.8940805900177968	0.5678934615383465	1.344127978883694	1.9191266603186186	2.4001340436536105	1.5693386589489655
S369	2.3468600219454205	2.024419495628753	1.8402028118277323	1.629815358485236	1.609748189430424	3.714805065491765	2.6230806620801648	0.8647549224956653	0.9230492449430159	2.267283440014832	2.5856778621408014	0.8752958132978815	0.0	2.4992691789246355	1.83545218060718	1.395440304443736	1.6352373116954366	1.6632329710173328	2.6808179407349506	2.356374476704964	2.65173170625511	1.583216766183592	1.5290887261934354	1.73086370129275	1.5144677443738173	1.666713055970433	0.9823826969118772	2.1654883579511632	1.6502004222116733	2.5745306039364575	2.350706766967388	1.714952252054268	2.166884054753415	3.1435184793324877	2.595879798871736	0.1593868014658548	2.7159431472291504	2.4740611478428467	2.2114130373181324	2.124137725551397	1.322241764867551	2.577415803673078	2.072315357531757	2.8002711790770647	1.1642368282058093	2.1791731810895336	1.7018303255391987	2.4824274461480416	1.9551497230210475	2.9015252969607306	1.7772416483658273	0.5353671570528271	1.1158674675893525	3.2037222475320077	1.8688743245386366	0.94781867232129	1.8811965603690135	1.80525782349839	1.4147476127355336	2.551609414212507	0.36290690323518626	1.9364585722374563	2.1645164413165525	2.8349401197155726	2.2858227921434073	0.3779336946516216	2.1853543837690235	2.25115305387416	3.2227994009159353	1.9028230601495342
S354	0.864899846581482	2.1856128706097278	1.4107413554836978	0.9058557456100044	2.2247318899352138	5.506888889993884	1.7145855367204004	1.6346708187094419	1.6248603084415085	1.2836779077849916	0.23846263640037205	2.381278153572878	2.4992691789246355	0.0	1.5029454301526655	2.0658260416540277	1.1418682502256943	3.283669517657775	0.5690917834403402	0.7797795606117383	0.18870571049502852	0.9415859657289292	1.4224669218379349	1.8118306267267283	1.004321007300437	0.8973172069426139	1.6786567530675032	1.4902253018448999	1.4104767718141298	1.0838807647939714	0.4313708126329827	0.8136704913058526	0.8651888235018114	2.696448016665418	1.1003555979701902	2.5997158194250547	0.89631477501823	1.331100182226502	0.6745241743338878	0.39560903528211006	1.4428635145305775	1.540586719785063	0.5347881974652274	1.2184472705276763	1.4824466205054494	1.8937323905351162	2.7547042352013644	0.18864334277927322	0.6988911419899813	1.3036263501636338	2.8929628575873894	3.0072175158327292	2.6939308367107784	5.140040117394253	1.2419793322580264	2.141020790462353	1.3363575942545944	1.0606280440737959	2.1046401286110354	1.0515091215544852	2.1681028799452364	1.6838456960900834	0.3609324918475532	1.2385155712209595	0.836974003881958	2.5782114493427186	2.432199664708264	0.7521412731837649	2.776259955844767	0.9833972334554628
S252	2.037039581691921	0.7016274520893087	2.1207837210907297	1.3054870416783633	2.59502916637014	5.43397551703983	2.805910430948104	1.2422705502249936	1.4544192182269418	2.3059031265387535	1.7228482175364894	2.2602724561434426	1.83545218060718	1.5029454301526655	0.0	2.34739120932862	0.5265204363037342	1.9006912985116984	2.0136748104269055	1.985250774185703	1.5375361795798006	0.951975617642182	0.3846193171564749	2.367373859314647	0.9443193045636321	0.9101277402090131	0.8857650675939199	2.396453414225418	1.9773222402024733	2.3365771202374126	1.6970733583377822	1.1617999253826023	1.9153509112484433	3.6918511990500584	2.359335302123753	1.9020848450992915	2.2703810016366135	2.4587069532423973	1.793419406273653	1.3612807852328486	0.5859881381851408	2.6617055729246832	1.504609893056727	2.5362084047097935	0.8346090822653954	2.693339375006099	1.2979130542577022	1.5497346051600422	1.5455743046037547	2.6464989057501938	3.1252032775397116	2.3182161884193584	1.426330850551491	4.955380695160757	0.389601762564896	2.120410365983968	0.17117665530466036	0.4754812725612754	2.389561519246566	2.29392316647566	1.5197418697826657	0.2399381260318349	1.20082936898334	2.5708134922300374	1.980110545358267	2.099194640305683	3.0567186660091217	1.881972101037093	3.7856702685658505	1.7808740835761458
S323	1.488238644211894	2.8465463919862892	0.7599917648802933	1.2734213428668655	0.256075632147796	3.470673609777337	1.3621814737295552	1.1685256957611914	0.9222294138846955	1.1704382387687786	2.018173642639675	0.6205096456195298	1.395440304443736	2.0658260416540277	2.34739120932862	0.0	1.8961837643059607	2.9965544460664133	1.935302998602506	1.5142405198048245	2.253291989477468	1.5356359563433952	2.007963371288292	0.4324684397918915	1.4908503769080932	1.6409349818813108	1.5927087277540135	0.9867755817796007	0.6786221180338302	1.5643793967392685	1.741470386006868	1.4842357997691595	1.3315501620877292	1.75022798899077	1.5764160778746037	1.467020686697429	1.808503556196128	1.3438015716737635	1.4746757594393536	1.7096636317461285	1.7882450409542825	1.3772399946937368	1.5367815760870571	1.7372066749365738	1.5565969406394864	0.8342897946410153	2.8636315885478387	2.028169920007115	1.3791950651490419	1.8254358429636564	0.8428390312200278	1.650703965951764	2.375275039002514	3.1169546529503047	2.2153610369843166	0.4490493140456258	2.2891880822487667	2.0272990807585782	0.04324010342740351	1.5861970602115552	1.3156314544977752	2.5396430655552935	1.8751924618748508	1.770202080852323	1.4255259595557377	1.1604030391337194	0.813827860884297	1.477748593121072	1.8275066230479537	1.1593859487444655
S324	1.5410383052991663	1.1995953713102119	1.6146068763641988	0.7915104886199849	2.136764997274988	5.132394261960725	2.295756165182733	0.8788107381412287	1.0435116718895372	1.798978755572019	1.3312708742487327	1.8993029344251338	1.6352373116954366	1.1418682502256943	0.5265204363037342	1.8961837643059607	0.0	2.1503737368010434	1.5864438586376535	1.5065123856426568	1.2237030903650616	0.4338892083298833	0.28472094140738585	1.8743566979512474	0.44502372140332597	0.38910737730860595	0.6680792119365417	1.8822653244865648	1.4742242919842334	1.8499231263566467	1.2401024356698291	0.6415335027964827	1.4160835538689094	3.199609684668064	1.8744419505655563	1.728827269395145	1.807439463710756	1.958928949575802	1.3117125040851094	0.9075916183949794	0.34620561044186426	2.153051527591355	1.025179078310271	2.068046236097631	0.5711340472441668	2.1878015788532417	1.6288459575295624	1.1572176872798436	1.044445027577375	2.167630904557973	2.700141549087807	2.156615411451325	1.5780023291648793	4.679318134283833	0.3345920741960715	1.7192705654376075	0.41851213893394235	0.1910149965634551	1.9389537963599317	1.7993258222305633	1.3025834322970193	0.718983971931942	0.7931411957933842	2.096325502542259	1.4939697675799435	1.8448925054443752	2.5740284186434206	1.3874502346647688	3.2863685116138535	1.2605920613537864
S275	3.5263181499671794	1.4744066608865836	3.2491926605815618	2.6866228705705035	3.2316646200874026	4.94259501070902	4.0567709846463815	2.020954301123718	2.240417613489143	3.6129423490837693	3.4655372879741915	2.5162903938618166	1.6632329710173328	3.283669517657775	1.9006912985116984	2.9965544460664133	2.1503737368010434	0.0	3.689980752176038	3.505448088899414	3.36469015468789	2.4268455143472423	1.8773696636495134	3.267750684872551	2.3725704450663003	2.4500895291946825	1.7112389438943316	3.5866621360220283	3.0552318234463227	3.812702965072203	3.336663985308154	2.647233847183539	3.359564080335018	4.709787331992551	3.83625511547733	1.6207545027190853	3.8549999966494677	3.8114976779538923	3.3192216626009663	3.016674525593909	1.854437116381691	3.967087507491976	3.0758844079271923	4.038094922263009	1.9053899674619823	3.7077644594974632	0.6736412850646681	3.304089592233059	3.031530069458897	4.152969952463994	3.4308840816722292	1.746510471439967	0.6523866502419391	4.375355953887536	2.1529946215115556	2.5688137045591404	2.0559485320574207	2.24491675507206	3.0232428020786197	3.7756401122620735	1.6829662987974878	1.8217665446306965	2.9342491933351225	4.077316571203482	3.4625991545586197	1.9925093342171856	3.8068626461512536	3.3889188911370076	4.801038278194599	3.124025246899184
S256	0.5064884800879789	2.7046615074081934	1.1906005202457635	1.0677089888031088	2.036335430172614	5.3462460120782875	1.2420046781030967	1.8476144203052838	1.7599446576955393	0.9053967555997774	0.33314683759960034	2.3773337845104487	2.6808179407349506	0.5690917834403402	2.0136748104269055	1.935302998602506	1.5864438586376535	3.689980752176038	0.0	0.42541859949463845	0.6657922394602577	1.2685852600090082	1.8704371936131257	1.592722775278846	1.321951715091494	1.2577659554801761	2.0072017488662874	1.1420685443299032	1.268407877510324	0.588617319630863	0.3809565400948138	1.0727817911574034	0.6099631774628486	2.2229411572930755	0.5986915008798415	2.7848195079381335	0.34518566539548046	0.879751964129451	0.4864076322139785	0.6815770187968551	1.8397833929537724	1.0681028336800191	0.6297024079699914	0.6815486165757325	1.8166318544784337	1.5455670894096916	3.2106871515908058	0.5344967301396493	0.7287036887403981	0.7454297539856595	2.7035656111401565	3.160116398549758	3.0697065058989814	5.027432353062997	1.7411618789938628	2.1256838271116294	1.8519066896433598	1.5474912913744436	1.9674819312710432	0.5781078289663726	2.3793986608051414	2.2051820274375804	0.8154570529736862	0.6871541732487825	0.5137131232685989	2.6878287825769336	2.1152348450137457	0.498745490699191	2.292295766977858	0.8643787634214789
S360	0.19983392835801408	2.669213358994922	0.7664596792735544	0.8243903785412647	1.6109538485577302	4.923899574365875	0.9405929452224705	1.5644378777867922	1.4358072499524501	0.5152454288636235	0.6115659120723361	1.979356397613155	2.356374476704964	0.7797795606117383	1.985250774185703	1.5142405198048245	1.5065123856426568	3.505448088899414	0.42541859949463845	0.0	0.9404831249748671	1.1156967180812098	1.7773491515468696	1.168548365634309	1.1506753954297393	1.141017743232515	1.7962226073911909	0.743877606505181	0.8549703216653944	0.3553629373488384	0.412823060426099	0.9118873964480148	0.20981695561555733	1.9276255980066974	0.3756784307905796	2.4587935526660045	0.37353410727297964	0.5538138903545521	0.19513793064917365	0.654813751808649	1.6948453080150563	0.770898359073131	0.4852805552005581	0.5661564452897692	1.6174311764337934	1.1472917325206584	3.0848081424300258	0.7357060509753202	0.48611450260072636	0.6723928792476167	2.278576193464993	2.813252160529259	2.8663561004640448	4.605087455905366	1.7276234156220582	1.7282889335401554	1.8381329274321168	1.5127275770726643	1.5454639686334959	0.3744072496309747	2.0757879053131063	2.1912300913938245	0.8571788531082448	0.5913622106602892	0.0888250636911043	2.327195319323424	1.7088212309379176	0.20776822482266244	2.0029440170156056	0.5133948903228948
