	S339	S334	S337	S300	S267	S343	S353	S370	S230	S272	S306	S354	S327	S359	S233	S346	S256	S262	S383	S219	S276	S305	S294	S385	S356	S280	S224	S312	S201	S228	S198	S277	S220	S301	S255	S265	S361	S251	S362	S212	S333	S250	S308	S210	S231	S350	S221	S358	S203	S378	S355	S244	S315	S264	S290	S217	S204	S310	S349	S329	S240	S205	S214	S232
S301	1.273466186631808	1.161600622788347	1.4799385606918039	1.1268678706334616	1.4868298626571352	0.3097636157798855	0.767412054896614	1.773503968598871	1.0057099783417296	0.3492710473518294	0.9882611524317146	0.9902077107657696	1.3186424506337397	1.3079849384820637	0.701968532064342	1.4231753237018498	1.2552930560349562	0.9446451008972413	2.988143256087895	1.1553101419989742	1.3597613447698977	1.3864488126032406	0.3709780649365671	4.762310080867149	0.03922328348101599	1.0108255465261458	1.2854926963845819	0.8464225661855342	2.50893187044067	2.3859544660426604	1.1144846420669854	1.3727923033387537	1.8993386778770436	0.0	0.6930059197130527	1.4120038058987416	1.4296735927918136	1.7221987532299374	1.4937531068922274	1.5886475786521936	0.20239759697831725	1.7892919184672615	0.39730459896890763	0.9242525183420158	2.1931409437719536	1.1464113166694887	0.7637157813036571	0.9425381641392317	1.7449797439015695	0.24375847636646253	0.3522487909096505	0.8690100680691935	0.8398518186213955	1.4536730908797857	0.6259315605726644	1.6544781514092877	0.6135614389445979	0.9180123392232243	1.3073109337337896	1.560307243886287	3.4462252578952954	0.8794911666024192	1.186304108414391	2.6701168921130787
S255	1.7711377250027702	1.2068380433381614	1.3944470237855608	0.5912705677911269	1.9932603110267537	0.890869199882848	1.4566419800893986	2.1872572253904075	0.6689311886421668	0.9880827482829113	1.672900445157495	1.681927469010643	0.6383031692083607	0.9881866868073929	0.8081104570419553	1.6285428134309898	1.9189178648380476	1.6267522438642656	2.4367741100688445	0.4836162836313868	0.8755914283034475	1.1292945814954851	0.5452544489724275	4.173325165816337	0.6614126062622028	0.9565636030429869	0.9809554944695553	0.6728612999777498	2.478358506456142	2.577438808731234	1.434460673287532	1.8717330374226122	2.145583396286133	0.6930059197130527	0.0	2.008618550893493	1.923500729291836	2.1439373106099526	2.040493926388296	1.8652817626832816	0.4924605313022404	2.3368381099519775	1.062841531010641	1.5818706043662907	1.9916868190011139	0.627621353435307	0.7071163715977039	1.574634767970979	1.5040928003108034	0.4913752533173643	0.7963976989366189	1.1230712407139904	1.3396069666217945	1.996717531433249	1.0741567817236275	1.7427999064971456	1.2762306443809086	1.582572899892441	0.9330831512679602	2.1097799781382007	2.9307647295978243	1.4813741624835586	1.1634264115395097	2.928805586095461
S265	0.4207062273680354	2.413825313817653	2.7783024817821116	2.5261420589191657	0.37156595008846	1.4787892751792695	0.9468959700165087	0.7688900198519748	2.41424234692235	1.079827225434226	0.6908491875738597	0.9053295189792795	2.5889144841747735	2.6943761779434143	1.3762191455778732	1.1673054254194084	0.4147516078517894	1.0836488772772985	3.726759161144977	2.418388799031243	2.7702876871380275	2.7666076601006013	1.759924783091232	5.5300610267948525	1.4342991773232956	1.5508396206776445	2.6830826129698737	2.239961767357299	2.2773894188947272	1.7270852812635007	0.9293507534963713	0.40265320359884715	1.2679867471026083	1.4120038058987416	2.008618550893493	0.0	0.41326508694612774	0.7205770763212734	0.2971585329259366	1.0508665248547209	1.5861691664551416	0.4250061204022313	1.0263852113863927	0.5568012399530113	2.3710010999793822	2.1589262095422184	2.1434279571761876	1.385938525632523	2.136610019641625	1.6531487809276029	1.6318528716413425	2.0450450189468232	1.7089240132675725	0.2586822697560847	1.7113705241452768	1.4942259363907109	1.2463970276183707	1.2201367275621744	2.0921005939620527	0.2632929948579667	4.069803078853278	0.5414574313745187	2.4856059101288444	1.78982012110685
S361	0.1910845329028016	2.518139272906615	2.8784839529202983	2.48051381574656	0.09441257376653811	1.5731345806267198	1.1806179645108916	0.4232538745248728	2.4164949176115167	1.1102862058838947	0.9718420300149719	1.1963807379228464	2.451370596450958	2.707222613351629	1.188048372456824	0.7934071493965121	0.7768128351084035	1.3600364800588194	3.398600598515443	2.2848366887841602	2.7460538260949847	2.8108516058067794	1.776056630159988	5.191665781818171	1.4431820124975436	1.2948981636834036	2.711058416356598	2.26582724632697	1.8645046112051538	1.3332435048843572	0.6202896759463662	0.06441416909533751	0.8583562205912002	1.4296735927918136	1.923500729291836	0.41326508694612774	0.0	0.36907327378818267	0.263713510120597	0.6455310284241502	1.5690400208858604	0.45080814802737934	1.0914228555838792	0.7835578815894195	1.9851864648398856	1.956865049753627	2.191385752677798	1.6444854850160255	1.7917374666217345	1.6527462938387532	1.710036906070011	2.178130791113551	1.9031562486297122	0.27890067280063047	1.8516272294516283	1.1002056769873498	1.4362768024819001	1.4839689298473997	1.8303133213459064	0.2674570607221515	3.7161539588723227	0.6171219141066219	2.5825093082612103	1.4401020191810119
S251	0.4865732532539809	2.84360539078878	3.193263628119201	2.7211618012091274	0.3589316600888788	1.8971156903079864	1.5288440240845451	0.055478606935866565	2.6876114669498357	1.4262187631461751	1.334472380437942	1.558387357977371	2.6307468347675584	2.988619471021326	1.36804511705517	0.7298010062645882	1.1208741911138247	1.7222394409885482	3.3638238751643184	2.471312660740946	2.99601809474763	3.100760156241222	2.0677166655938453	5.143767317168322	1.7328145473731784	1.3858695751232506	2.9906571616126953	2.5531435373936406	1.6440747889648177	1.0568598225338277	0.7548562608842645	0.42598127858506923	0.60574734291934	1.7221987532299374	2.1439373106099526	0.7205770763212734	0.36907327378818267	0.0	0.5564864901379886	0.49297852177317925	1.8414537396025383	0.5242402782429033	1.41583312138823	1.1345953549625085	1.8598216346993737	2.079319178419671	2.485003361955737	2.004436375543027	1.74652852097089	1.9308619299587488	2.0262171603048804	2.510518898162276	2.255199269361924	0.515132051455206	2.189281064952918	0.9876641668431698	1.7868640482279938	1.845642024429528	1.9112918099327352	0.5111201227848341	3.6444091289917644	0.9684436474116725	2.897317796064221	1.1120939729512753
S362	0.3903591074624608	2.5169614809417435	2.8932538711478433	2.5731401442865103	0.2558043354330551	1.5916367933515683	1.1424316250849802	0.6019641501286201	2.483119767186241	1.1527635996533532	0.8738046146360023	1.0945383506624362	2.582094169560236	2.755466934741609	1.3403643101831615	1.0349116869917399	0.6340492377630889	1.268632052027845	3.5981258277588943	2.412362502038784	2.8293651648309712	2.855052651018764	1.8288022124334846	5.374379272539826	1.5093429734738426	1.4922605634245052	2.768167179860895	2.317076638551407	2.0565584745249863	1.4778402389048015	0.806785083920855	0.257714665495809	1.0536472951567732	1.4937531068922274	2.040493926388296	0.2971585329259366	0.263713510120597	0.5564864901379886	0.0	0.8805377294820208	1.6497201427175412	0.370471499072625	1.1245625134106252	0.7478546925611971	2.2012015655563135	2.129285634697165	2.2397649964174784	1.5680796816638234	2.008880511814503	1.7265058438719152	1.7368626773867382	2.172979997104044	1.8602881386195709	0.3438709466848146	1.8414693666922173	1.319450712631011	1.4035146764526147	1.401002227345175	2.0075793681470953	0.13469943826236197	3.9144047185603763	0.6285629620709908	2.5997743808619043	1.5552164719723607
S212	0.6651035829150168	2.727446094042228	3.0573957953654	2.451528412717947	0.6998095430960003	1.8237941138580844	1.6279503879056867	0.4976810486234689	2.4679099092100127	1.3513991363677889	1.5022372196058411	1.7153402753869738	2.276915953475281	2.770360915087171	1.0660022436943402	0.27683765064246385	1.3835896522367528	1.8515379623177417	2.872062176825489	2.128004984585892	2.7370801076108418	2.9084981159326793	1.9007847245039398	4.653962600543869	1.5893428735013344	0.9957172764404009	2.7847329874190216	2.3646308184929072	1.2485857025520282	0.8685723146727907	0.5021568980651037	0.6610918913478716	0.3321203008046392	1.5886475786521936	1.8652817626832816	1.0508665248547209	0.6455310284241502	0.49297852177317925	0.8805377294820208	0.0	1.6589830694777632	0.9897348734100359	1.3744332728477207	1.2815174994689944	1.37546087850906	1.6891023044735012	2.3216750347632926	2.095798667919329	1.2578707392746857	1.7566738371660087	1.9252754572283672	2.437158532194854	2.2623643917797294	0.8567438559609388	2.14176354984114	0.4979981923737189	1.8199623714220532	1.9530349530134907	1.4771201303637986	0.8922964506750897	3.153103371132298	1.0500278879656924	2.76782683048849	1.1043239173037103
S333	1.4136660716196563	1.1123391585906415	1.4043173832951275	0.9411841895040923	1.6314660536229422	0.4358557870315175	0.9686673565030705	1.8906618095162337	0.8513447381538617	0.5245843108141032	1.1877027361203456	1.189524473771472	1.1171766022045426	1.1659175903472652	0.6774687765537222	1.4683119135581089	1.4497394083101725	1.1375172039175379	2.8286055917435466	0.9550637073912405	1.1873226744114955	1.2632637052331916	0.2699192573188254	4.591564628195294	0.170710239361636	0.9607708037538328	1.1492046951583452	0.7186449987150372	2.493636939689474	2.4355491993283236	1.187538191597712	1.512999623050192	1.9630173180216755	0.20239759697831725	0.4924605313022404	1.5861691664551416	1.5690400208858604	1.8414537396025383	1.6497201427175412	1.6589830694777632	0.0	1.949322644379166	0.5883895813307308	1.1172887548249286	2.126804046568134	0.9833066045495013	0.662776427465063	1.1109126241012919	1.6626886658536761	0.10026730744867117	0.40075642022040825	0.8788894357168027	0.9468605593195034	1.611598504749871	0.7018476864827765	1.66564676791439	0.7952357353017347	1.1015886757466198	1.1782379233163733	1.7188471768253915	3.2969993127998247	1.050573876906248	1.1198871719465429	2.7431266029539665
S250	0.580460535357081	2.825178304253765	3.1906744627126944	2.8802715326691066	0.36806913718337947	1.8848477051447472	1.370798763804996	0.5490627787046729	2.791658774993494	1.458745735325599	1.110342802878718	1.3213683375057952	2.8861747202868178	3.0770807326944323	1.6298795894121796	1.1904536782655035	0.8117307967583417	1.5021050042612805	3.8257619315676488	2.718211341416563	3.136094782341833	3.1620452626429856	2.140274580890652	5.610596980283764	1.808272479150013	1.7384968201147515	3.0719006957810473	2.6267884588466366	2.148017378424071	1.498978038616299	1.0697662545105722	0.4942218707509624	1.1100098323770062	1.7892919184672615	2.3368381099519775	0.4250061204022313	0.45080814802737934	0.5242402782429033	0.370471499072625	0.9897348734100359	1.949322644379166	0.0	1.4177057016247891	0.9783197040759171	2.3623283050223676	2.4000455308210684	2.537793643775594	1.807098814953009	2.210737223947705	2.024580717709624	2.0340975349606	2.4627559689943905	2.132577897028039	0.37277187657919314	2.1293159312481946	1.4778978460526404	1.6697087089179021	1.6404293301838353	2.2799657588267395	0.25002855406305735	4.125944184401752	0.9205204335038645	2.8965500401601556	1.4727197751955583
S308	0.9433300887837631	1.438062200997395	1.7889709489998404	1.5210340319748952	1.1408661026209388	0.48246912800675856	0.4697002434040393	1.4698475619755547	1.389426331902567	0.10666204295941355	0.6148525088026597	0.6690636866336567	1.6784702590785143	1.672380455391746	0.7595353161708189	1.2683885409876563	0.8614298132175733	0.6840446741588263	3.206442581692359	1.509704020686254	1.752121569904544	1.7446353457613588	0.7366527519283952	4.998660278817202	0.4224684224532054	1.0758772369196878	1.657720765091876	1.2140082169806954	2.4274579651910386	2.1826580912715183	0.9157950789363024	1.0333120359343961	1.6842069836030313	0.39730459896890763	1.062841531010641	1.0263852113863927	1.0914228555838792	1.41583312138823	1.1245625134106252	1.3744332728477207	0.5883895813307308	1.4177057016247891	0.0	0.5348866628587515	2.222289258134739	1.4137067225542825	1.121154692339845	0.8059302191306925	1.8217248370906711	0.640467774314662	0.6211583676108149	1.0950177184904963	0.8918006515915605	1.0955980892895993	0.7790245111996104	1.5485911737492803	0.47797966856419005	0.7140719610664329	1.4905408867646697	1.189412569949487	3.6344462824218557	0.5000499622517336	1.4927815483745546	2.4227771759231245
S210	0.6623557391862481	1.8742959656657694	2.2303351749616573	2.0508043452579154	0.7960842321312641	0.9427445646492013	0.4025329779626237	1.1895084968104972	1.908231000395182	0.6171654891335276	0.2641469486519343	0.4569834128954219	2.1969098377384753	2.1842303114086494	1.1215863173145162	1.2788566555082932	0.3537733402284464	0.6020845909126599	3.587817761418963	2.0272204081012797	2.275658070517049	2.235738165756967	1.2616749587630014	5.398115128613747	0.9526924138216784	1.3781829264464904	2.158977162510023	1.7240129969507199	2.479281741596271	2.071261726459328	0.9500485807381429	0.736388274237741	1.569905107823565	0.9242525183420158	1.5818706043662907	0.5568012399530113	0.7835578815894195	1.1345953549625085	0.7478546925611971	1.2815174994689944	1.1172887548249286	0.9783197040759171	0.5348866628587515	0.0	2.415202297419407	1.8612584898733726	1.6150303979366551	0.8762055690408468	2.0821805104371847	1.1671720481969245	1.0995765613980266	1.4956304212239733	1.1674438856335698	0.6897063429792475	1.1632518900323985	1.612647889253313	0.6976794198096239	0.7205334789320552	1.8830665573621086	0.7813203618684933	3.9839476876704825	0.27284856344175085	1.9389649696302804	2.220196723210535
S231	1.9608634201247404	3.132746282500175	3.3710498920155207	2.458968049843646	2.0549811605154944	2.4934873793023042	2.6390283383157493	1.8534390986876939	2.631209543839323	2.14724089877055	2.621849809123415	2.7918257598078666	2.004555793114909	2.8844137185482084	1.4985674278772838	1.2177646150685324	2.6200524832693293	2.871148770499335	1.6057494124355343	1.937837840663812	2.728981794355537	3.0825835831422195	2.3361841281421225	3.3249212399403625	2.171427728365291	1.1980605014863173	2.9365264906932396	2.638148213473016	0.708801755785141	1.358195802281742	1.489948950915789	1.9810649648349403	1.3329648549642419	2.1931409437719536	1.9916868190011139	2.3710010999793822	1.9851864648398856	1.8598216346993737	2.2012015655563135	1.37546087850906	2.126804046568134	2.3623283050223676	2.222289258134739	2.415202297419407	0.0	1.441519704588042	2.673310534606975	3.0242319111610296	0.4950452959063538	2.215109737051789	2.5122462128430127	2.990851609238714	3.0139461498497297	2.199481241700247	2.8011012615608126	0.8873221085262533	2.691803674847609	2.925795208824991	1.0938689962929364	2.2425694067096953	1.8069200675888897	2.1612328059391475	3.135486580838145	1.7597114702811014
S350	1.82449367579591	1.8200583341583338	1.9855736942115259	1.037916429335298	2.033359929782958	1.41897156032547	1.858297437890276	2.1107590220577546	1.2324945052225222	1.3283674748394454	2.0120573648692015	2.081611313651636	0.6545950992204617	1.5031409894293206	0.7961507646900687	1.4200752779321202	2.1866659431564894	2.0715196994721174	1.8663108141625833	0.5592582885493491	1.3062872805896104	1.6746523663430768	1.1257939308569302	3.6669369540185905	1.1156942481811942	0.6973429806167714	1.519538796097237	1.282192727795451	2.0157076877793556	2.2781939944446914	1.3728194428674123	1.9166186006148533	1.9155535981311698	1.1464113166694887	0.627621353435307	2.1589262095422184	1.956865049753627	2.079319178419671	2.129285634697165	1.6891023044735012	0.9833066045495013	2.4000455308210684	1.4137067225542825	1.8612584898733726	1.441519704588042	0.0	1.3325956744790288	2.0876745818699867	0.9556762328012275	1.030936445249418	1.3635392292972561	1.74486719378023	1.917516675701701	2.0810411292747317	1.6592239888974931	1.4197730891265197	1.7591417587043	2.0599306603613035	0.4097586186047118	2.1921872295731566	2.349570775876564	1.6907780945229733	1.7765710419715022	2.6635001539202317
S221	2.0359235560768534	0.5394666399746341	0.7489426221357052	0.6266817487259555	2.2474437366673015	0.6821495849957165	1.3306766899334759	2.5358833225194832	0.3573723585108078	1.0884831101820613	1.607880156201229	1.5215698631726648	1.1136631882522934	0.6191099591770489	1.316455723567312	2.1283116565828113	1.9200365042862628	1.3971329046116092	3.083402790891612	1.0141795646679546	0.7312344931658638	0.6309763805852993	0.44264187062133026	4.7432447681114125	0.7527294351976819	1.5644033876728225	0.5446021102560609	0.17462865261833121	3.1053704579885	3.0893816074992926	1.846535582722923	2.1336574436826248	2.6246465855984713	0.7637157813036571	0.7071163715977039	2.1434279571761876	2.191385752677798	2.485003361955737	2.2397649964174784	2.3216750347632926	0.662776427465063	2.537793643775594	1.121154692339845	1.6150303979366551	2.673310534606975	1.3325956744790288	0.0	1.2180346559174837	2.19187077270866	0.5653415566411232	0.5241641901474865	0.4845413114449683	0.8531709252295686	2.204679645591588	0.6175368648958595	2.3094991115451213	1.0395768445345064	1.2983422384990262	1.6230851741731662	2.309382308921185	3.5853273280290194	1.6206942301190974	0.47839554226593267	3.4031250100138783
